"도서관명",시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
"중앙도서관",충청남도,천안시,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,200,211168,81,6905,10,14,충청남도 천안시 동남구 중앙로 118,충청남도 천안시청,041-521-3722,3727,4824,http://www.cheonan.go.kr/lib.do,36.80917325,127.1535923,2021-09-24
"쌍용도서관",충청남도,천안시,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,404,176110,97,4465,10,14,충청남도 천안시 서북구 월봉4로 153,충청남도 천안시청,041-521-3731,5631,4792,http://www.cheonan.go.kr/lib.do,36.80040792,127.1146491,2021-09-24
"성거도서관",충청남도,천안시,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,160,87104,41,836,10,14,충청남도 천안시 서북구 성거읍 천흥3길 3,충청남도 천안시청,041-521-3734,2745,1576,http://www.cheonan.go.kr/lib.do,36.87162843,127.2010113,2021-09-24
"아우내도서관",충청남도,천안시,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,37,66942,42,1474,10,14,충청남도 천안시 동남구 병천면 병천2로 57,충청남도 천안시청,041-521-3723,10495,4456,http://www.cheonan.go.kr/lib.do,36.7671929080,127.3025835008,2021-09-24
"도솔도서관",충청남도,천안시,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,180,95050,72,1751,10,14,충청남도 천안시 서북구 번영로 156,충청남도 천안시청,041-521-3735,1088,1088,http://www.cheonan.go.kr/lib.do,36.81612841,127.1130483,2021-09-24
"두정도서관",충청남도,천안시,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,362,164380,105,2026,10,14,충청남도 천안시 서북구 부성3길 9,충청남도 천안시청,041-521-3733,16325,6663,http://www.cheonan.go.kr/lib.do,36.83459674,127.1346154935,2021-09-24
"신방도서관",충청남도,천안시,공공도서관,"매월 둘째/넷째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,270,116314,79,1678,10,14,충청남도 천안시 동남구 통정4로 7,충청남도 천안시청,041-521-3724,12252,5390,http://www.cheonan.go.kr/lib.do,36.7744153439,127.1307312924,2021-09-24
"청수도서관",충청남도,천안시,공공도서관,"매월 첫째/셋째 월요일, 국가지정공휴일",09:00,20:00,09:00,18:00,09:00,18:00,780,74062,70,878,10,14,충청남도 천안시 동남구 청수 16로 5-10,충청남도 천안시청,041-521-3725,3219,6263,http://www.cheonan.go.kr/lib.do,36.78946052,127.1563583,2021-09-24
"원성2동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,12,9172,6,122,10,14,충청남도 천안시 동남구 원거리8길 43,충청남도 천안시청,041-521-3229,116,116,http://www.cheonan.go.kr/lib.do,36.8001171,127.1581461,2021-09-24
"중앙동작은도서관",충청남도,천안시,작은도서관,"매주 월/일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,40,8935,6,0,10,14,충청남도 천안시 동남구 영성로 69-1,충청남도 천안시청,041-566-2639,187,187,http://www.cheonan.go.kr/lib.do,36.80454656,127.1496381,2021-09-24
